	Unnamed: 0	sessionId	riderId	qresultPlace	qresultBesttime	qresultBestlap	qresultTotallap	qresultTopspeed
0	0	13	58	1	1900-01-01 00:01:42.681000	21	21.0	245.6
1	0	13	59	2	1900-01-01 00:01:42.869000	8	8.0	245.4
2	0	13	60	3	1900-01-01 00:01:43.028000	9	9.0	242.6
3	0	13	61	4	1900-01-01 00:01:43.329000	15	15.0	243.2
4	0	13	62	5	1900-01-01 00:01:43.628000	12	12.0	243.2
5	0	13	63	6	1900-01-01 00:01:43.640000	7	8.0	244.5
6	0	13	64	7	1900-01-01 00:01:43.673000	16	16.0	245.3
7	0	13	65	8	1900-01-01 00:01:43.882000	15	15.0	242.7
8	0	13	66	9	1900-01-01 00:01:43.986000	16	17.0	228.9
9	0	13	67	10	1900-01-01 00:01:44.233000	11	11.0	242.8
10	0	13	68	11	1900-01-01 00:01:44.379000	15	16.0	240.5
11	0	13	69	12	1900-01-01 00:01:44.737000	16	16.0	239.8
12	0	13	70	13	1900-01-01 00:01:44.765000	14	14.0	242.7
13	0	13	71	14	1900-01-01 00:01:45.401000	15	15.0	229.7
14	0	13	72	15	1900-01-01 00:01:45.517000	14	16.0	232.8
15	0	13	73	16	1900-01-01 00:01:46.437000	15	17.0	235.1
16	0	13	74	17	1900-01-01 00:01:47.173000	9	10.0	238.6
17	0	13	75	18	1900-01-01 00:01:47.215000	11	11.0	226.6
18	0	13	76	19	1900-01-01 00:01:47.439000	11	11.0	240.7
19	0	13	77	20	1900-01-01 00:01:48.810000	19	21.0	225.3
20	0	13	78	21	1900-01-01 00:01:50.645000	15	15.0	225.1
21	0	14	79	1	1900-01-01 00:01:37.258000	24	25.0	251.5
22	0	14	67	2	1900-01-01 00:01:37.373000	27	27.0	254.8
23	0	14	64	3	1900-01-01 00:01:37.401000	25	25.0	255.0
24	0	14	60	4	1900-01-01 00:01:37.592000	17	19.0	251.8
25	0	14	80	5	1900-01-01 00:01:37.595000	24	24.0	253.7
26	0	14	61	6	1900-01-01 00:01:37.737000	23	23.0	253.5
27	0	14	59	7	1900-01-01 00:01:37.883000	19	25.0	254.1
28	0	14	63	8	1900-01-01 00:01:37.986000	22	23.0	252.6
29	0	14	58	9	1900-01-01 00:01:38.027000	12	21.0	255.5
30	0	14	70	10	1900-01-01 00:01:38.473000	24	24.0	250.7
31	0	14	68	11	1900-01-01 00:01:38.499000	25	25.0	251.8
32	0	14	65	12	1900-01-01 00:01:38.509000	25	25.0	250.4
33	0	14	69	13	1900-01-01 00:01:38.558000	23	23.0	250.8
34	0	14	76	14	1900-01-01 00:01:38.571000	22	25.0	251.8
35	0	14	66	15	1900-01-01 00:01:39.005000	15	17.0	244.5
36	0	14	77	16	1900-01-01 00:01:39.224000	25	27.0	241.7
37	0	14	71	17	1900-01-01 00:01:40.337000	15	16.0	238.0
38	0	14	75	18	1900-01-01 00:01:40.728000	15	15.0	238.9
39	0	14	72	19	1900-01-01 00:01:41.179000	12	13.0	239.9
40	0	14	78	20	1900-01-01 00:01:41.294000	18	21.0	239.3
41	0	14	73	21	1900-01-01 00:01:41.443000	17	17.0	244.8
42	0	15	60	1	1900-01-01 00:01:37.707000	21	24.0	250.0
43	0	15	61	2	1900-01-01 00:01:37.759000	25	26.0	253.7
44	0	15	64	3	1900-01-01 00:01:37.760000	27	27.0	254.5
45	0	15	74	4	1900-01-01 00:01:38.200000	21	21.0	254.4
46	0	15	59	5	1900-01-01 00:01:38.363000	23	24.0	253.5
47	0	15	63	6	1900-01-01 00:01:38.368000	19	24.0	253.0
48	0	15	70	7	1900-01-01 00:01:38.432000	20	26.0	250.5
49	0	15	67	8	1900-01-01 00:01:38.502000	24	28.0	250.3
50	0	15	76	9	1900-01-01 00:01:38.584000	24	24.0	251.9
51	0	15	62	10	1900-01-01 00:01:38.649000	20	20.0	247.6
52	0	15	68	11	1900-01-01 00:01:39.007000	19	21.0	247.3
53	0	15	69	12	1900-01-01 00:01:39.082000	19	24.0	248.6
54	0	15	65	13	1900-01-01 00:01:39.654000	20	23.0	250.3
55	0	15	77	14	1900-01-01 00:01:40.081000	23	24.0	241.0
56	0	15	58	15	1900-01-01 00:01:40.160000	16	24.0	255.0
57	0	15	71	16	1900-01-01 00:01:40.356000	16	16.0	238.3
58	0	15	73	17	1900-01-01 00:01:40.832000	19	20.0	246.1
59	0	15	66	18	1900-01-01 00:01:41.008000	3	13.0	240.7
60	0	15	72	19	1900-01-01 00:01:41.547000	6	15.0	238.4
61	0	15	75	20	1900-01-01 00:01:42.977000	11	14.0	237.2
62	0	15	78	21	1900-01-01 00:01:43.220000	20	21.0	239.3
63	0	16	60	1	1900-01-01 00:01:36.273000	25	25.0	252.6
64	0	16	80	2	1900-01-01 00:01:36.397000	25	26.0	254.8
65	0	16	64	3	1900-01-01 00:01:36.679000	19	21.0	250.9
66	0	16	63	4	1900-01-01 00:01:36.711000	25	25.0	252.8
67	0	16	59	5	1900-01-01 00:01:36.832000	26	29.0	253.2
68	0	16	61	6	1900-01-01 00:01:36.841000	26	27.0	253.9
69	0	16	67	7	1900-01-01 00:01:36.970000	24	24.0	252.2
70	0	16	66	8	1900-01-01 00:01:37.044000	21	22.0	249.6
71	0	16	58	9	1900-01-01 00:01:37.129000	29	29.0	256.6
72	0	16	76	10	1900-01-01 00:01:37.208000	25	25.0	253.3
73	0	16	77	11	1900-01-01 00:01:37.323000	23	25.0	243.4
74	0	16	68	12	1900-01-01 00:01:37.330000	24	25.0	250.2
75	0	16	79	13	1900-01-01 00:01:37.340000	14	25.0	249.0
76	0	16	65	14	1900-01-01 00:01:37.382000	22	24.0	251.1
77	0	16	70	15	1900-01-01 00:01:37.584000	23	25.0	249.9
78	0	16	69	16	1900-01-01 00:01:37.711000	23	24.0	250.3
79	0	16	71	17	1900-01-01 00:01:39.067000	16	23.0	239.3
80	0	16	73	18	1900-01-01 00:01:39.222000	26	26.0	245.9
81	0	16	78	19	1900-01-01 00:01:40.013000	15	19.0	239.3
82	0	16	72	20	1900-01-01 00:01:40.324000	13	13.0	237.5
83	0	16	75	21	1900-01-01 00:01:40.349000	21	21.0	236.0
84	0	18	80	1	1900-01-01 00:01:37.030000	8	12.0	253.7
85	0	18	63	2	1900-01-01 00:01:37.381000	6	12.0	251.8
