	Unnamed: 0	riderId	riderName	riderNumber	riderNationality	riderTeam	riderMotortype
0	0	58	Garry McCOY	24	AUS	Red Bull Yamaha WCM	YAMAHA
1	0	59	Valentino ROSSI	46	ITA	Nastro Azzurro Honda	HONDA
2	0	60	Sete GIBERNAU	5	SPA	Repsol Honda Team	HONDA
3	0	61	Tadayuki OKADA	8	JPN	Repsol Honda Team	HONDA
4	0	62	Alex BARROS	10	BRA	Honda Pons	HONDA
5	0	63	Carlos CHECA	7	SPA	Marlboro Yamaha Team	YAMAHA
6	0	64	Kenny ROBERTS	2	USA	Telefonica Movistar Suzuki	SUZUKI
7	0	65	Tetsuya HARADA	31	JPN	Aprilia Grand Prix Racing	APRILIA
8	0	66	Jeremy McWILLIAMS	99	GBR	Aprilia Grand Prix Racing	APRILIA
9	0	67	Alex CRIVILLE	1	SPA	Repsol Honda Team	HONDA
10	0	68	Nobuatsu AOKI	9	JPN	Telefonica Movistar Suzuki	SUZUKI
11	0	69	Regis LACONI	55	FRA	Red Bull Yamaha WCM	YAMAHA
12	0	70	Norick ABE	6	JPN	Antena 3 Yamaha-D'Antin	YAMAHA
13	0	71	Sebastien GIMBERT	22	FRA	Tecmas Honda Elf	HONDA
14	0	72	Jose Luis CARDOSO	25	SPA	Maxon Dee Cee Jeans	HONDA
15	0	73	David DE GEA	11	SPA	Proton TEAM KR	MODENAS
16	0	74	Loris CAPIROSSI	65	ITA	Honda Pons	HONDA
17	0	75	Yoshiteru KONISHI	15	JPN	F.C.C. TSR	TSR-HONDA
18	0	76	Max BIAGGI	4	ITA	Marlboro Yamaha Team	YAMAHA
19	0	77	Jurgen vd GOORBERGH	17	NED	Rizla Honda	TSR-HONDA
20	0	78	Shane NORVAL	12	RSA	Sabre Sport	HONDA
21	0	79	Alex BARROS	10	BRA	Emerson Honda Pons	HONDA
22	0	80	Loris CAPIROSSI	65	ITA	Emerson Honda Pons	HONDA
23	0	89	Norick ABE	6	JPN	Antena 3 Yamaha-d'Antin	YAMAHA
24	0	90	Alex CRIVILLE	1	SPA	Repsol YPF Honda Team	HONDA
25	0	91	Sete GIBERNAU	5	SPA	Repsol YPF Honda Team	HONDA
26	0	92	Tadayuki OKADA	8	JPN	Repsol YPF Honda Team	HONDA
27	0	108	Akira RYO	19	JPN	Team Suzuki	SUZUKI
28	0	119	Yoshiteru KONISHI	15	JPN	Technical Sports Racing	TSR-HONDA
29	0	120	David DE GEA	11	SPA		MODENAS
